packet_count,byte_count,bytes_per_sec,packets_per_sec,fwd_packets,bwd_packets,fwd_byte_ratio,syn_count,fin_count,rst_count,duration
7.0,3477.9095114778547,4791.419648278866,9.643706205484358,4.0,3.0,0.5032506190721379,1.0,0.0,0.0,0.7258620130940024
46.0,11819.668128414847,864.2541597968877,3.363520102149309,25.0,21.0,0.6368083107337266,1.0,1.0,0.0,13.676148381157507
39.0,18175.42711845843,955.9774968725866,2.0512927776078085,26.0,13.0,0.3507035085466405,1.0,0.0,0.0,19.012400582563988
27.0,8440.15448558292,508.70191902039414,1.627334172260952,11.0,16.0,0.5802476113781994,0.0,1.0,0.0,16.591552282397718
27.0,12002.020642316722,2150.860094056429,4.838620451523723,17.0,10.0,0.46504830816943993,1.0,0.0,0.0,5.580102897200269
51.0,2040.0,1831.5093223326253,45.78773305831563,29.0,22.0,0.31408969558823446,1.0,1.0,0.0,1.113835444420146
6.0,1646.396149867769,87.5276563030534,0.31897908523443724,2.0,4.0,0.5143889240018885,1.0,1.0,0.0,18.810010680136703
42.0,33296.9817979204,1776.3694425887084,2.240669050471879,15.0,27.0,0.40080330645327056,1.0,0.0,0.0,18.744401361350043
13.0,8659.03414767961,811.4026639559022,1.2181768141257852,8.0,5.0,0.5421016372162009,1.0,1.0,0.0,10.671685628271744
7.0,5346.655070281324,415.62177357141553,0.5441443999578652,3.0,4.0,0.43972920433554846,0.0,0.0,0.0,12.864232362847126
32.0,24881.416125893913,2681.5132530251003,3.448695350081099,20.0,12.0,0.5665809273051836,0.0,1.0,0.0,9.278871211180626
58.0,36806.65412030794,4369.095448386285,6.8848294435594415,30.0,28.0,0.6674013451724116,1.0,1.0,0.0,8.424319073620236
44.0,18014.75556866361,7404.349769263355,18.084696659126294,22.0,22.0,0.39781782483258366,0.0,0.0,0.0,2.432996296777572
46.0,13457.29129435627,6795.85556353625,23.229738368951697,19.0,27.0,0.675936187595079,0.0,0.0,0.0,1.9802203223038655
43.0,31362.003606867394,6682.710703339053,9.162570218589487,30.0,13.0,0.38172354410013276,1.0,1.0,0.0,4.6930063261899395
47.0,24106.93895924147,1439.9954361385926,2.807481514469451,28.0,19.0,0.3282779528893452,0.0,1.0,0.0,16.74098289081056
31.0,30962.941461567818,10462.735204999175,10.475257712758378,19.0,12.0,0.3770803949552319,1.0,1.0,0.0,2.9593543996768155
9.0,3842.823643180642,840.3953154288915,1.9682292348445611,5.0,4.0,0.6259666798062193,1.0,1.0,0.0,4.572638105698479
50.0,44728.9585478048,4068.173424915509,4.547583441460617,27.0,23.0,0.5710224981058167,0.0,0.0,0.0,10.994850483478041
28.0,13121.965972103771,3022.1938056484278,6.448837524655545,19.0,9.0,0.6883336613045724,1.0,0.0,0.0,4.341867800661574
31.0,23783.50130300394,7194.099501800496,9.376966062084707,17.0,14.0,0.5839309241699723,0.0,1.0,0.0,3.3059733601198524
23.0,19304.78199126929,1710.1798401192102,2.0375333086139458,12.0,11.0,0.46505250601465353,1.0,0.0,0.0,11.288159021874346
12.0,3544.92017236629,479.46696265427556,1.6230558861952273,5.0,7.0,0.6569723896531504,0.0,1.0,0.0,7.393460756382479
55.0,22165.021138800446,1767.2809108948268,4.385308251705817,23.0,32.0,0.683251407283384,0.0,0.0,0.0,12.541877752517362
47.0,13789.99527843381,755.6784334169835,2.575554643310366,28.0,19.0,0.6166619683840424,1.0,1.0,0.0,18.24849654115309
39.0,9906.432991585856,3234.951189426176,12.735471636943283,17.0,22.0,0.5226558343340404,0.0,1.0,0.0,3.0623129721295994
25.0,15835.33425262475,866.5973261767895,1.368138670696434,15.0,10.0,0.630306312522225,1.0,0.0,0.0,18.273001513270625
49.0,22573.04197155959,1250.2602322661342,2.7139785350254186,33.0,16.0,0.3716178829337126,0.0,0.0,0.0,18.054674850087228
33.0,16845.6177330549,1015.3897450466557,1.9891144461143542,16.0,17.0,0.6601400091717545,0.0,1.0,0.0,16.590297287551262
27.0,16503.69132885571,1305.2428231464837,2.135374173130427,9.0,18.0,0.6998235929946144,1.0,0.0,0.0,12.6441540502564
28.0,3598.633731196477,289.700146690176,2.254078829141629,16.0,12.0,0.5660560665821381,0.0,0.0,0.0,12.421925816437671
15.0,11360.298011871164,887.3643492789952,1.171665146924482,5.0,10.0,0.3783556158320034,1.0,0.0,0.0,12.802292565733206
7.0,3011.2681713241154,217.8071641233247,0.5063149683519729,4.0,3.0,0.3577746648781287,0.0,1.0,0.0,13.825386246795372
34.0,20620.32888241743,54433.06642380071,89.75241224146052,17.0,17.0,0.6837657622401387,0.0,1.0,0.0,0.3788199018933324
53.0,33079.5560958226,1726.1348184058693,2.7656098259149293,26.0,27.0,0.6485411285473301,1.0,1.0,0.0,19.16394695425496
